date	calories	gsr	heart-rate	skin-temp	steps
2015-02-03 06:10Z	1.1	0.00134742	51	93.65	0
2015-02-03 06:11Z	1.2	0.00145538	52	93.65	0
2015-02-03 06:12Z	1.4	0.00146592	52	93.65	0
2015-02-03 06:13Z	1.2	0.00159703	64	93.65	0
2015-02-03 06:14Z	1.3	0.00156289	51	93.65	0
2015-02-03 06:15Z	1.2	0.00152587	51	93.65	0
2015-02-03 06:16Z	1.1	0.0016065	49	93.65	0
2015-02-03 06:17Z	1.2	0.00155736	51	93.65	0
2015-02-03 06:18Z	1.1	0.00163162	51	93.575	0
2015-02-03 06:19Z	1.2	0.00156856	52	93.425	0
2015-02-03 06:20Z	1.3	0.00161195	52	93.425	0
2015-02-03 06:21Z	1.5	0.00160871	56	93.425	0
2015-02-03 06:22Z	1.1	0.00155717	59	93.425	0
2015-02-03 06:23Z	1.3	0.00153916	56	93.2188	0
2015-02-03 06:24Z	1.5	0.00149095	61	93.2	0
2015-02-03 06:25Z	1.8	0.00157057	76	93.1813	0
2015-02-03 06:26Z	1.8	0.00159081	76	92.975	0
2015-02-03 06:27Z	1.2	0.0016312	59	92.975	0
2015-02-03 06:28Z	1.1	0.00161632	53	92.975	0
2015-02-03 06:29Z	1.3	0.00167174	54	92.975	0
2015-02-03 06:30Z	1.1	0.00163841	53	92.975	0
2015-02-03 06:31Z	1.5	0.00163782	54	93.0312	0
2015-02-03 06:32Z	1.3	0.00168695	58	93.2	0
2015-02-03 06:33Z	1.1	0.00172795	52	93.2188	0
2015-02-03 06:34Z	1.4	0.0017517	54	93.4062	0
2015-02-03 06:35Z	1.2	0.00179212	54	93.425	0
2015-02-03 06:36Z	1.2	0.00176848	53	93.425	0
2015-02-03 06:37Z	1.5	0.00178323	59	93.575	0
2015-02-03 06:38Z	1.3	0.00180928	60	93.65	0
2015-02-03 06:39Z	1.1	0.00186389	55	93.65	0
2015-02-03 06:40Z	1.1	0.00186287	53	93.6687	0
2015-02-03 06:41Z	1.2	0.00181848	54	93.875	0
2015-02-03 06:42Z	1.1	0.00195754	53	94.0437	0
2015-02-03 06:43Z	1.1	0.00198796	53	94.1937	0
2015-02-03 06:44Z	1.2	0.00207457	51	94.325	0
2015-02-03 06:45Z	1.3	0.00211819	52	94.55	0
2015-02-03 06:46Z	1.3	0.00213496	57	94.55	0
2015-02-03 06:47Z	1.3	0.00213264	68	94.7375	0
2015-02-03 06:48Z	1.1	0.00214748	50	94.7375	0
2015-02-03 06:49Z	1.8	0.00181842	65	94.55	0
2015-02-03 06:50Z	1.3	0.00161669	64	94.3625	0
2015-02-03 06:51Z	1.5	0.00145958	54	94.1562	0
2015-02-03 06:52Z	1.8	0.00154068	71	94.1	0
2015-02-03 06:53Z	1.2	0.00153696	62	94.0437	0
2015-02-03 06:54Z	1.3	0.00160041	53	93.875	0
2015-02-03 06:55Z	1.2	0.00158137	52	93.8562	0
2015-02-03 06:56Z	1.2	0.00164063	49	93.65	0
2015-02-03 06:57Z	1.1	0.00167294	48	93.65	0
2015-02-03 06:58Z	1.3	0.00170537	49	93.6312	0
2015-02-03 06:59Z	1.2	0.00195231	49	93.425	0
2015-02-03 07:00Z	1.2	0.00206825	48	93.425	0
2015-02-03 07:01Z	1.1	0.00207659	48	93.425	0
2015-02-03 07:02Z	1.3	0.0020637	50	93.425	0
2015-02-03 07:03Z	1.3	0.00203113	50	93.425	0
2015-02-03 07:04Z	1.2	0.00198118	49	93.425	0
2015-02-03 07:05Z	1.3	0.00199641	49	93.425	0
2015-02-03 07:06Z	1.2	0.00202187	49	93.425	0
2015-02-03 07:07Z	1.2	0.00202495	50	93.425	0
2015-02-03 07:08Z	1.1	0.00209211	49	93.425	0
2015-02-03 07:09Z	1.3	0.00210569	48	93.425	0
2015-02-03 07:10Z	1.1	0.00206923	48	93.425	0
2015-02-03 07:11Z	1.2	0.00208824	49	93.425	0
2015-02-03 07:12Z	1.1	0.00216275	48	93.425	0
2015-02-03 07:13Z	1.2	0.00211489	48	93.425	0
2015-02-03 07:14Z	1.2	0.00218198	52	93.425	0
2015-02-03 07:15Z	1.1	0.00230425	53	93.425	0
2015-02-03 07:16Z	1.2	0.00223329	53	93.425	0
2015-02-03 07:17Z	1.2	0.00222531	60	93.425	0
2015-02-03 07:18Z	1.1	0.00224412	62	93.425	0
2015-02-03 07:19Z	1.2	0.00227142	65	93.425	0
2015-02-03 07:20Z	1.1	0.00226472	66	93.425	0
2015-02-03 07:21Z	1.2	0.00233233	62	93.425	0
2015-02-03 07:22Z	1.1	0.00231029	60	93.425	0
2015-02-03 07:23Z	1.2	0.00238071	55	93.425	0
2015-02-03 07:24Z	1.2	0.00229253	55	93.5	0
2015-02-03 07:25Z	1.1	0.002321	53	93.4625	0
2015-02-03 07:26Z	1.2	0.00242131	53	93.65	0
2015-02-03 07:27Z	1.1	0.00237414	61	93.65	0
2015-02-03 07:28Z	1.2	0.00244184	54	93.65	0
2015-02-03 07:29Z	1.1	0.00234135	55	93.65	0
2015-02-03 07:30Z	1.2	0.00242445	53	93.65	0
2015-02-03 07:31Z	1.1	0.00247605	56	93.65	0
2015-02-03 07:32Z	1.2	0.00246134	55	93.65	0
2015-02-03 07:33Z	1.2	0.00246551	55	93.65	0
2015-02-03 07:34Z	1.5	0.00230845	71	93.65	0
2015-02-03 07:35Z	1.2	0.00242743	48	93.65	0
2015-02-03 07:36Z	1.1	0.00249289	54	93.5	0
2015-02-03 07:37Z	1.2	0.00242049	55	93.425	0
2015-02-03 07:38Z	1.1	0.00241861	58	93.425	0
2015-02-03 07:39Z	1.3	0.00249703	54	93.425	0
2015-02-03 07:40Z	1.1	0.00248289	54	93.425	0
2015-02-03 07:41Z	1.2	0.00248507	56	93.425	0
2015-02-03 07:42Z	1.2	0.00251869	58	93.425	0
2015-02-03 07:43Z	1.1	0.00249333	58	93.2562	0
2015-02-03 07:44Z	1.3	0.00256208	55	93.2	0
2015-02-03 07:45Z	1.1	0.00252475	54	93.1813	0
2015-02-03 07:46Z	1.2	0.00249182	56	92.9938	0
